,zones,id,ten,group,short_ten,diachi,email,dienthoai,zone,image,open,Lat,Lng,quan,serviceRange,khuyenmai,mincart,giaohang,onsale,onepay,zalopay,bankaccount,messenger
6,Co.opMart Khu Vực TPHCM,151,Co.opmart Cống Quỳnh - Quận 1,coopmart,Cống Quỳnh,"189C Cống Quỳnh - P.Nguyễn Cư Trinh, Q1 - TPHCM",cqmarketing@coopmart.vn,(028) 38 325 239,2,https://cooponline.vn//cnms/images/coopmart/cmcongquynh.jpg,7h30 - 22h,10.8282847,106.7203214,760,"['760', '770', '773', '774', '775', '778', '776', '771', '772']",,200000.0,False,True,False,,,
7,Co.opMart Khu Vực TPHCM,152,Co.opmart Hóc Môn - Hóc Môn,,Hóc Môn,"Đặng Thúc Vịnh, Xã Thới Tam Thôn, Huyện Hóc Môn, TP.Hồ Chí Minh",hmmarketing@coopmart.vn,(028)37 107 186,2,https://cooponline.vn//cnms/images/coopmart/cmhocmon.jpg,7h30 - 22h,10.8282847,106.7203214,784,['784'],,200000.0,False,True,False,,,
8,Co.opMart Khu Vực TPHCM,153,Co.opmart Hậu Giang - Quận 6,,Hậu Giang,"188 Hậu Giang, P.6, Q.6, TPHCM",hgmarketing@coopmart.vn,(028) 39 600 913,2,https://cooponline.vn//cnms/images/coopmart/cmhaugiang.jpg,7h30 - 22h,10.8282847,106.7203214,775,"['775', '772', '774', '775']",,200000.0,False,True,False,,,
9,Co.opMart Khu Vực TPHCM,154,Co.opmart Phú Thọ - Quận 11,,Phú Thọ,"Khu A, Chung cư Phú Thọ, P. 15, Q. 11, TP. HCM",pthomarketing@coopmart.vn,(028) 38 687 007,2,https://cooponline.vn//cnms/images/coopmart/cmphutho.jpg,7h30 - 22h,10.8282847,106.7203214,772,"['771', '772', '774', '775', '776']",,200000.0,False,True,False,,,
10,Co.opMart Khu Vực TPHCM,155,Co.opmart Nguyễn Đình Chiểu - Quận 3,,Nguyễn Đình Chiểu,"168 Nguyễn Đình Chiểu, P.Võ Thị Sáu, Q.3, TPHCM",ndcmarketing@coopmart.vn,(028) 39 306 055,2,https://cooponline.vn//cnms/images/coopmart/cmnguyendinhchieu.jpg,7h30 - 22h,10.8282847,106.7203214,770,"['770', '760', '773', '774', '771', '768', '765']",,200000.0,False,True,False,,,
11,Co.opMart Khu Vực TPHCM,157,Co.opmart Phú Lâm - Quận 6,,Phú Lâm,"06 Bà Hom (vòng xoay Phú Lâm), P.13, Q.6, TPHCM",plmarketing@coopmart.vn,(028) 37 514 798,2,https://cooponline.vn//cnms/images/coopmart/cmphulam.jpg,7h30 - 22h,10.8282847,106.7203214,775,"['775', '774', '772', '27436', '27439', '27445', '27448', '27451', '27454', '27457', '27460', '27463']",,200000.0,False,True,False,,,
12,Co.opMart Khu Vực TPHCM,158,Co.opmart Phan Văn Hớn - Quận 12,,Phan Văn Hớn,"102 Phan Văn Hớn, phường Tân Thới Nhất, Quận 12, TPHCM",cmtopazhomes-mkt@coopmart.vn,(028) 38 155 484,2,https://cooponline.vn//cnms/images/coopmart/cmphanvanhon.jpg,7h30 - 22h,10.8282847,106.7203214,761,"['26787', '26788', '26791', '26974', '27007', '27592']",,200000.0,False,True,False,,,
13,Co.opMart Khu Vực TPHCM,159,Co.opmart Huỳnh Tấn Phát - Quận 7,,Huỳnh Tấn Phát,"1362 Huỳnh Tấn Phát, Khu phố 1, P.Phú Mỹ, Quận 7, TPHCM",cmhuynhtanphat-mkt@coopmart.vn,(028) 3785 1515,2,https://cooponline.vn//cnms/images/coopmart/cmhuynhtanphat.jpg,7h30 - 22h,10.8282847,106.7203214,778,"['778', '773', '786']",,200000.0,False,True,False,,,
14,Co.opMart Khu Vực TPHCM,160,Co.opmart Nguyễn Kiệm - Phú Nhuận,,Nguyễn Kiệm,"571-573 Nguyễn Kiệm, P.9, Q.Phú Nhuận, TPHCM",nkmarketing@coopmart.vn,(028)  39 972 477,2,https://cooponline.vn//cnms/images/coopmart/cmnguyenkiem.jpg,7h30 - 22h,10.8282847,106.7203214,768,"['768', '767', '765']",,200000.0,False,True,False,,,
15,Co.opMart Khu Vực TPHCM,161,Co.opmart Xa Lộ Hà Nội - Quận 9,,Xa Lộ Hà Nội,"191 Quang Trung, P.Hiệp Phú, Q.9, TPHCM",xlhnmarketing@coopmart.vn,(028) 37 307 234,2,https://cooponline.vn//cnms/images/coopmart/cmxalohanoi.jpg,7h30 - 22h,10.8282847,106.7203214,763,,,200000.0,False,True,False,,,
16,Co.opMart Khu Vực TPHCM,162,Co.opmart Phan Văn Trị - Gò Vấp,,Phan Văn Trị,"543/1 Đường Phan Văn Trị, Phường 7, Quận Gò Vấp, TP.HCM",giaohangtannoipvt@gmail.com,(028) 38 946 859,2,https://cooponline.vn//cnms/images/coopmart/cmphanvantri.jpg,7h30 - 22h,10.8282847,106.7203214,764,,,200000.0,False,True,False,,,
17,Co.opMart Khu Vực TPHCM,175,Co.opmart Củ Chi - Củ Chi,,Củ Chi,"357 Quốc lộ 22, ấp Thượng, xã Tân Thông Hội, huyện Củ Chi, Tp HCM",ccmarketing@coopmart.vn,(028) 37 902 220,2,https://cooponline.vn//cnms/images/coopmart/cmcuchi.jpg,7h30 - 22h,10.8282847,106.7203214,783,,,200000.0,False,True,False,,,
18,Co.opMart Khu Vực TPHCM,178,Co.opmart Hòa Bình - Tân Phú,,Hòa Bình,"175 Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, TP.HCM",hbmarketing@coopmart.vn,(028) 39 613 522,2,https://cooponline.vn//cnms/images/coopmart/cmbinhtan2.jpg,7h30 - 22h,10.8282847,106.7203214,767,,,200000.0,False,True,False,,,
19,Co.opMart Khu Vực TPHCM,180,Co.opmart Cần Giờ - Cần Giờ,,Cần Giờ,"128 Đường Đào Cử, Khu phố Phong Thạnh, Thị trấn Cần THạnh, Huyện Cần Giờ, TP.HCM",cgmarketing@coopmart.vn,(028) 37 861 727,2,https://cooponline.vn//cnms/images/coopmart/cmcangio.jpg,7h30 - 22h,10.8282847,106.7203214,787,,,200000.0,False,True,False,,,
20,Co.opMart Khu Vực TPHCM,186,Co.opmart Bình Triệu - Thủ Đức,,Bình Triệu,"Số 68/1 Quốc lộ 13, Phường Hiệp Bình Chánh, Quận Thủ Đức, TPHCM",btrieumarketing@coopmart.vn,(028) 3726 4006,2,https://cooponline.vn//cnms/images/coopmart/cmbinhtrieu.jpg,7h30 - 22h,10.8282847,106.7203214,762,,,,False,True,False,,,
21,Co.opMart Khu Vực TPHCM,196,Co.opmart Foodcosa - Gò Vấp,coopmart,Foodcosa,"304A Quang Trung, Phường 11, Quận Gò Vấp, TPHCM",qtrungmarketing@coopmart.vn,(028) 39 966 477,2,https://cooponline.vn//cnms/images/coopmart/cmfoodcosa.jpg,7h30 - 22h,10.8282847,106.7203214,764,,,200000.0,False,True,False,,,
22,Co.opMart Khu Vực TPHCM,505,Co.opmart Lý Thường Kiệt - Quận 10,,Lý Thường Kiệt,"497 Hòa Hảo, P.7, Q.10, TPHCM",ltkmarketing@coopmart.vn,(028) 39 572 856,2,https://cooponline.vn//cnms/images/coopmart/cmlythuongkiet.jpg,7h30 - 22h,10.8282847,106.7203214,771,,,200000.0,False,True,False,,,
23,Co.opMart Khu Vực TPHCM,506,Co.opmart Văn Thánh - Bình Thạnh,,Văn Thánh,"Tòa nhà Pearl Plaza, 561A Điện Biên Phủ, P.25, Quận Bình Thạnh",vanthanhmarketing@coopmart.vn,(028) 35 121 068,2,https://cooponline.vn//cnms/images/coopmart/cmvanthanh.jpg,7h30 - 22h,10.8282847,106.7203214,765,,,200000.0,False,True,False,,,
24,Co.opMart Khu Vực TPHCM,508,Co.opmart Nguyễn Bình - Nhà Bè,,Nguyễn Bình,"Số 18, đường Nguyễn Bình, Xã Phú Xuân, huyện Nhà Bè, TPHCM",cmnguyenbinh-mkt@coopmart.vn,(028) 37 770 669,2,https://cooponline.vn//cnms/images/coopmart/cmnguyenbinh.jpg,7h30 - 22h,10.8282847,106.7203214,786,,,200000.0,False,True,False,,,
25,Co.opMart Khu Vực TPHCM,509,Co.opmart Vĩnh Lộc B - Bình Chánh,,Vĩnh Lộc B,"Số 2 Khu tái định cư Vĩnh Lộc B, Đường số 8, Xã Vĩnh Lộc B, Huyện Bình Chánh, TPHCM",vlocmarketing@coopmart.vn,(028) 73 016 999,2,https://cooponline.vn//cnms/images/coopmart/cmvinhlocb.jpg,7h30 - 22h,10.8282847,106.7203214,785,,,200000.0,False,True,False,,,
26,Co.opMart Khu Vực TPHCM,510,Co.opmart Đỗ Văn Dậy - Hóc Môn,,Đỗ Văn Dậy,"Số 18, Đỗ Văn Dậy, Ấp Tân Thới 1, Hóc Môn, TP,HCM",dvdaymarketing@coopmart.vn,(028) 37 100 602,2,https://cooponline.vn//cnms/images/coopmart/cmdovanday.jpg,7h30 - 22h,10.8282847,106.7203214,784,,,200000.0,False,True,False,,,
27,Co.opMart Khu Vực TPHCM,511,Co.opmart Hiệp Thành - Quận 12,,Hiệp Thành,"276 Nguyễn Ảnh Thủ, Phường Hiệp Thành, Quận 12, TPHCM",hthanhmarketing@coopmart.vn,(028) 37 172 227,2,https://cooponline.vn//cnms/images/coopmart/cmhiepthanh.jpg,7h30 - 22h,10.8282847,106.7203214,761,,,200000.0,False,True,False,,,
28,Co.opMart Khu Vực TPHCM,524,Co.opmart Đồng Văn Cống - Quận 2,,Đồng Văn Cống,"Số 125 Đồng Văn Cống, Phường Thạnh Mỹ Lợi, Quận 2, TPHCM",cmdongvancong-mkt@coopmart.vn,(028) 374 22 350,2,https://cooponline.vn//cnms/images/coopmart/cmdongvancong.jpg,7h30 - 22h,10.8282847,106.7203214,769,,,200000.0,False,True,False,,,
29,Co.opMart Khu Vực TPHCM,530,Co.opmart Chu Văn An - Bình Thạnh,,Chu Văn An,"	241A Chu Văn An, Phường 12, Quận Bình Thạnh, TP.HCM",cmchuvanan-mkt@coopmart.vn,(028) 351 66 800,2,https://cooponline.vn//cnms/images/coopmart/cmchuvanan.jpg,7h30 - 22h,10.8282847,106.7203214,765,,,200000.0,False,True,False,,,
30,Co.opMart Khu Vực TPHCM,541,Co.opmart Bình Tân 2 - Bình Tân,,Bình Tân 2,"819 Đường Hương Lộ 2, Phường Bình Trị Đông, Quận Bình Tân, TPHCM",cmsghomes-mkt@coopmart.vn,(028) 36 229 801,2,https://cooponline.vn//cnms/images/coopmart/cmbinhtan2.jpg,7h30 - 22h,10.8282847,106.7203214,777,,,200000.0,False,True,False,,,
31,Co.opMart Khu Vực TPHCM,556,Co.opmart Tô Ký - Quận 12,,Tô Ký,"Số 557, đường Tô Ký, phường Trung Mỹ Tây, Quận 12, TPHCM",cmtoky_mkt@coopmart.vn,(028) 36 222 611,2,https://cooponline.vn//cnms/images/coopmart/cmtoky.jpg,7h30 - 22h,10.8282847,106.7203214,761,,,200000.0,False,True,False,,,
32,Co.opMart Khu Vực TPHCM,565,Co.opmart Tam Bình - Thủ Đức,,Tam Bình,"Chung cư Sài Gòn Avenue, Đường số 4, khu phố 4, Phường Tam Bình, Quận Thủ Đức, TP.HCM",cmtambinh-mkt@coopmart.vn,(028) 36 221 348,2,https://cooponline.vn//cnms/images/coopmart/cmtambinh.jpg,7h30 - 22h,10.8282847,106.7203214,762,,,200000.0,False,True,False,,,
33,Co.opMart Khu Vực TPHCM,570,Co.opmart Thắng Lợi - Tân Phú,,Thắng Lợi,"	02 Trường Chinh, P.Tây Thạnh, Q.Tân Phú, TPHCM",cmthangloi-marketing@coopmart.vn,(028) 36227600,2,https://cooponline.vn//cnms/images/coopmart/cmthangloi.jpg,7h30 - 22h,10.8282847,106.7203214,767,,,200000.0,False,True,False,,,
34,Co.opMart Khu Vực TPHCM,549,Co.opmart SCA Hoàng Văn Thụ - Tân Bình,,SCA H.Văn Thụ,"431A Hoàng Văn Thụ, Phường 4, Quận Tân Bình",cahoangvanthu-mkt@coopmart.vn,(028) 36 228 100,2,https://cooponline.vn//cnms/images/coopmart/sca.jpg,7h30 - 22h,10.8282847,106.7203214,766,,,200000.0,False,True,False,,,
35,Co.opMart Khu Vực TPHCM,560,Co.opmart SCA Phạm Văn Chiêu - Gò Vấp,,SCA P.Văn Chiêu,"Tầng trệt, khu căn hộ I-Home, số 359 Phạm Văn Chiêu, P.14, Q. Gò Vấp, Tp.HCM",caphamvanchieu-mkt@coopmart.vn,(028) 36 221 300,2,https://cooponline.vn//cnms/images/coopmart/sca.jpg,7h30 - 22h,10.8282847,106.7203214,764,,,200000.0,False,True,False,,,
36,Co.opMart Khu Vực TPHCM,559,Co.opmart SCA Âu Cơ - Tân Bình,,SCA Âu Cơ,"856 Âu Cơ, P.13, Quận Tân Bình",caauco-mkt@coopmart.vn,(028) 3622.8198,2,https://cooponline.vn//cnms/images/coopmart/sca.jpg,7h30 - 22h,10.8282847,106.7203214,766,,,200000.0,False,True,False,,,
37,Co.opMart Khu Vực TPHCM,561,Co.opmart SCA Cao Thắng - Quận 10,,SCA Cao Thắng,"181 Cao Thắng (Nối dài), P.12, Quận 10",cacaothang-mkt@coopmart.vn,(028) 36 221 251,2,https://cooponline.vn//cnms/images/coopmart/sca.jpg,7h30 - 22h,10.8282847,106.7203214,771,,,200000.0,False,True,False,,,
0,Co.opMart Khu Vực Miền Trung,112,Co.opmart Quy Nhơn- Bình Định,,Quy Nhơn,"07 Lê Duẩn, P.Lý Thường Kiệt, Tp.Qui Nhơn - Bình Định",qnhonmarketing@coopmart.vn,(0256) 3521 321,3,https://cooponline.vn//cnms/images/coopmart/cmquynhon.jpg,7h30 - 22h,10.8282847,106.7203214,764,,,,False,True,False,,,
1,Co.opMart Khu Vực Miền Trung,122,Co.opmart Tuy Hòa - Phú Yên,,Tuy Hòa,"Ô phố B8, Khu dân dụng Duy Tân, P.4, Tp.Tuy Hoà - Phú Yên",pymarketing@coopmart.vn,(0257) 3818 171,3,https://cooponline.vn//cnms/images/coopmart/cmtuyhoa.jpg,7h30 - 22h,10.8282847,106.7203214,764,,,,False,True,False,,,
2,Co.opMart Khu Vực Miền Trung,128,Co.opmart Đà Nẵng - Đà Nẵng,,Đà Nẵng,"478 Điện Biên Phủ, Q. Thanh Khê, TP. Đà Nẵng",dnmarketing@coopmart.vn,(0236) 3771 888,3,https://cooponline.vn//cnms/images/coopmart/cmdanang.jpg,7h30 - 22h,10.8282847,106.7203214,765,,,200000.0,False,True,False,,,
3,Co.opMart Khu Vực Miền Trung,547,Co.opmart Sơn Trà - Đà Nẵng,,Sơn Trà,"Lô C2, KCN dịch vụ thủy sản Đà Nẵng, Đ.Bình Than, P.Nại Hiên Đông, Q.Sơn Trà, TP. Đà Nẵng",cmsontra-mkt@coopmart.vn,(0236) 3 925 333,3,https://cooponline.vn//cnms/images/coopmart/cmsontra.jpg,7h30 - 22h,10.8282847,106.7203214,765,,,300000.0,False,True,False,,,
4,Co.opMart Khu Vực Miền Trung,145,Co.opmart Quảng Ngãi - Quảng Ngãi,,Quảng Ngãi,"242 Nguyễn Nghiêm, Tổ 6, Phường Nguyễn Nghiêm, Tp. Quảng Ngãi, Tỉnh Quảng Ngãi",qnmarketing@coopmart.vn,(0255) 372 5555,3,https://cooponline.vn//cnms/images/coopmart/cmquangngai.jpg,7h30 - 22h,10.8282847,106.7203214,765,,,,False,True,False,,,
5,Co.opMart Khu Vực Miền Trung,521,Co.opmart Đức Phổ - Quảng Ngãi,,Đức Phổ,"Đường Nguyễn Nghiêm, thôn Vĩnh Bình, xã Phổ Ninh, huyện Đức Phổ, tỉnh Quảng Ngãi",ducphomarketing@coopmart.vn,(0255) 3888 675,3,https://cooponline.vn//cnms/images/coopmart/cmducpho.jpg,7h30 - 22h,10.8282847,106.7203214,765,,,,False,True,False,,,
6,Co.opMart Khu Vực Miền Trung,137,Co.opmart Huế,,Huế,"06 Trần Hưng đạo, P.Phú Hòa, TP.Huế",huemarketing@coopmart.vn,(0234) 3588 555,3,https://cooponline.vn//cnms/images/coopmart/cmhue.jpg,7h30 - 22h,10.8282847,106.7203214,764,,,200000.0,False,True,False,,,
7,Co.opMart Khu Vực Miền Trung,512,Co.opmart Quảng Bình,,Quảng Bình,"Khu đô thị phía Bắc đường Lê Lợi, phường Đồng Phú, thành phố Đồng Hới, tỉnh Quảng Bình",quangbinhmarketing@coopmart.vn,(0232) 3897 999,3,https://cooponline.vn//cnms/images/coopmart/cmquangbinh.jpg,7h30 - 22h,10.8282847,106.7203214,764,,,,False,True,False,,,
8,Co.opMart Khu Vực Miền Trung,132,Co.opmart Tam Kỳ - Quảng Nam,,Tam Kỳ,"07 Phan Chu Trinh, P.Phước Hoà, Tx.Tam Kỳ - Quảng Nam",tkmarketing@coopmart.vn,(0235) 2220 230,3,https://cooponline.vn//cnms/images/coopmart/cmtamky.jpg,7h30 - 22h,10.8282847,106.7203214,764,,,,False,True,False,,,
9,Co.opMart Khu Vực Miền Trung,140,Co.opmart Nha Trang - Khánh Hòa,,Nha Trang,"02 Đường Lê Hồng Phong, Phường Phước Hải, Thành phố Nha Trang, Tỉnh Khánh Hòa",cmnhatrang-mkt@coopmart.vn,(0258) 3 875 777,3,https://cooponline.vn//cnms/images/coopmart/cmnhatrang.jpg,7h30 - 22h,10.8282847,106.7203214,568,['568'],,200000.0,False,True,False,,,
10,Co.opMart Khu Vực Miền Trung,167,Co.opmart Đông Hà - Quảng Trị,,Đông Hà,"Số 02 Trần Hưng Đạo, Thành phố Đông Hà, tỉnh Quảng Trị",qtmarketing@coopmart.vn,(0233) 3666 996,3,https://cooponline.vn//cnms/images/coopmart/cmdongha.jpg,7h30 - 22h,10.8282847,106.7203214,764,,,,False,True,False,,,
11,Co.opMart Khu Vực Miền Trung,501,Co.opmart An Nhơn,,An Nhơn,"Khu trung tâm TM Hoàng Vũ Plaza, Quốc lộ 1A, Thị xã An Nhơn, Tỉnh Bình Định",annhonmarketing@coopmart.vn,(0256) 3 635 677,3,https://cooponline.vn//cnms/images/coopmart/cmannhon.jpg,7h30 - 22h,10.8282847,106.7203214,764,,,,False,True,False,,,
12,Co.opMart Khu Vực Miền Trung,148,Co.opmart Thanh Hà - Phan Rang,,Thanh Hà,97 Trần Phú - F.Phủ Hà - TP.Phan Rang - Tháp Chàm,thmarketing@coopmart.vn,0259.382 6611,3,https://cooponline.vn//cnms/images/coopmart/cmthanhha.jpg,7h30 - 22h,10.8282847,106.7203214,764,,,,False,True,False,,,
13,Co.opMart Khu Vực Miền Trung,174,"Co.opmart Cam Ranh, Khánh Hòa",,Cam Ranh,"2038 Hùng Vương, Phường Cam Lộc, Thành Phố Cam Ranh, Tỉnh Khánh Hòa",crmarketing@coopmart.vn,0258 3 950 000,3,https://cooponline.vn//cnms/images/coopmart/cmcamranh.jpg,7h30 - 22h,10.8282847,106.7203214,764,,,,False,True,False,,,
0,Co.opMart Khu Vực Miền Tây,114,Co.opmart Mỹ Tho - Tiền Giang,,Mỹ Tho,"35 Ấp Bắc, P.5, TP Mỹ Tho - Tiền Giang",mtmarketing@coopmart.vn,(0273) 3867 314,4,https://cooponline.vn//cnms/images/coopmart/cmmytho.jpg,7h30 - 22h,10.8282847,106.7203214,765,,,,False,True,False,,,
1,Co.opMart Khu Vực Miền Tây,119,Co.opmart Long Xuyên - An Giang,,Long Xuyên,"12 Nguyễn Huệ A, P.Mỹ Long, TP. Long Xuyên - An Giang",lxmarketing@coopmart.vn,(0296) 3940 002,4,https://cooponline.vn//cnms/images/coopmart/cmhiepthanh.jpg,7h30 - 22h,10.8282847,106.7203214,765,,,300000.0,False,True,False,,,
2,Co.opMart Khu Vực Miền Tây,532,Co.opmart Cai Lậy - Tiền Giang,,Cai Lậy,"Khu phố 2, Đường 30/4, Phường 1, Thị xã Cai Lậy, Tỉnh Tiền Giang",cmcailay-mkt@coopmart.vn,(0273) 3813 748 - (0273) 3813 749 - 0911 863 543,4,https://cooponline.vn//cnms/images/coopmart/cmcailay.jpg,7h30 - 22h,,,765,,,,False,True,False,,,
3,Co.opMart Khu Vực Miền Tây,533,Co.opmart Hồng Ngự - Đồng Tháp,,Hồng Ngự,"Khu nhà cao ốc KII, Phường An Thạnh, Thị xã Hồng Ngự, Tỉnh Đồng Tháp",cmhongngu-mkt@coopmart.vn,(0277) 3651 987,4,https://cooponline.vn//cnms/images/coopmart/cmhongngu.jpg,7h30 - 22h,,,765,,,,False,True,False,,,
4,Co.opMart Khu Vực Miền Tây,199,Co.opmart Bến Tre,,Bến Tre,"26A Trần Quốc Tuấn, P.4, TX.Bến Tre, tỉnh Bến Tre",btremarketing@coopmart.vn,(075) 3.511.322,4,https://cooponline.vn//cnms/images/coopmart/cmbentre.jpg,7h30 - 17h,,,765,,,,False,True,False,,,
5,Co.opMart Khu Vực Miền Tây,170,Co.opmart Trà Vinh,,Trà Vinh,"Đường Nguyễn Đáng, Khóm 3, Phường 6, Thành phố Trà Vinh, Tỉnh Trà Vinh",tvmarketing@coopmart.vn,(0294) 374 0707,4,https://cooponline.vn//cnms/images/coopmart/cmtravinh.jpg,7h30 - 22h,,,842,"['842', '831']",,200000.0,False,True,False,,,
6,Co.opMart Khu Vực Miền Tây,518,Co.opmart Gò Công - Tiền Giang,,Gò Công,"Đường Trần Công Tường, khu phố 2, phường 5, thị xã Gò Công, tỉnh Tiền Giang",cmgocong-marketing@coopmart.vn,(0273) 3841 188,4,https://cooponline.vn//cnms/images/coopmart/cmgocong.jpg,7h30 - 22h,,,765,,,200000.0,False,True,False,,,
7,Co.opMart Khu Vực Miền Tây,545,Co.opmart Tiểu Cần - Trà Vinh,,Tiểu Cần,"Khóm 2, thị trấn Tiểu Cần, huyện Tiểu Cần, Tỉnh Trà Vinh",cmtieucan-mkt@coopmart.vn,(0294) 3900 001,4,https://cooponline.vn//cnms/images/coopmart/cmtieucan.jpg,7h30 - 22h,,,765,,,,False,True,False,,,
8,Co.opMart Khu Vực Miền Tây,514,Co.opmart Tân An - Long An,,Tân An,"01 Mai Thị Tốt, P. 2, TP Tân An, Tỉnh Long An",lamarketing@coopmart.vn,(0272) 3526 887,4,https://cooponline.vn//cnms/images/coopmart/cmlongan.jpg,7h30 - 22h,,,794,['794'],,,False,True,False,,,
9,Co.opMart Khu Vực Miền Tây,184,Co.opmart Rạch Giá,,Rạch Giá,"Khu trung tâm Thương mại Tổng hợp 16ha, P.Vĩnh Thanh Vân, TP. Rạch Giá, Tỉnh Kiên Giang",rgmarketing@coopmart.vn,(0297) 3947 888,4,https://cooponline.vn//cnms/images/coopmart/cmrachgia.jpg,7h30 - 22h,10.8282847,106.7203214,899,['899'],,,False,True,False,False,,
